about,constituency_type,gss_code,os_name,ended_date_value,ended_date_datatype,label_value,started_date_value,started_date_datatype
http://data.parliament.uk/resources/146747,County,W07000049,,NA,NA,Aberavon,2010-05-06,dateTime
http://data.parliament.uk/resources/146748,County,W07000058,Aberconwy Co Const,NA,NA,Aberconwy,2010-05-06,dateTime
http://data.parliament.uk/resources/143474,Borough,S14000001,Aberdeen North Burgh Const,NA,NA,Aberdeen North,2005-04-05,dateTime
http://data.parliament.uk/resources/143480,Borough,S14000002,Aberdeen South Burgh Const,NA,NA,Aberdeen South,2005-04-05,dateTime
http://data.parliament.uk/resources/146556,County,S14000058,West Aberdeenshire and Kincardine Co Const,NA,NA,West Aberdeenshire and Kincardine,2005-04-05,dateTime
http://data.parliament.uk/resources/143496,County,S14000003,Airdrie and Shotts Co Const,NA,NA,Airdrie and Shotts,2005-04-05,dateTime
http://data.parliament.uk/resources/146749,Borough,E14000530,Aldershot Boro Const,NA,NA,Aldershot,2010-05-06,dateTime
http://data.parliament.uk/resources/146750,Borough,E14000531,Aldridge-Brownhills Boro Const,NA,NA,Aldridge-Brownhills,2010-05-06,dateTime
http://data.parliament.uk/resources/146751,Borough,E14000532,Altrincham and Sale West Boro Const,NA,NA,Altrincham and Sale West,2010-05-06,dateTime
http://data.parliament.uk/resources/146752,County,W07000043,,NA,NA,Alyn and Deeside,2010-05-06,dateTime
http://data.parliament.uk/resources/146753,County,E14000533,Amber Valley Co Const,NA,NA,Amber Valley,2010-05-06,dateTime
http://data.parliament.uk/resources/143519,County,S14000004,Angus Co Const,NA,NA,Angus,2005-04-05,dateTime
http://data.parliament.uk/resources/146919,County,N06000005,,NA,NA,East Antrim,2010-05-06,dateTime
http://data.parliament.uk/resources/147094,County,N06000012,,NA,NA,North Antrim,2010-05-06,dateTime
http://data.parliament.uk/resources/147196,County,N06000014,,NA,NA,South Antrim,2010-05-06,dateTime
http://data.parliament.uk/resources/146754,County,W07000057,Arfon Co Const,NA,NA,Arfon,2010-05-06,dateTime
http://data.parliament.uk/resources/143527,County,S14000005,Argyll and Bute Co Const,NA,NA,Argyll and Bute,2005-04-05,dateTime
http://data.parliament.uk/resources/146755,County,E14000534,Arundel and South Downs Co Const,NA,NA,Arundel and South Downs,2010-05-06,dateTime
http://data.parliament.uk/resources/146756,County,E14000535,Ashfield Co Const,NA,NA,Ashfield,2010-05-06,dateTime
http://data.parliament.uk/resources/146757,County,E14000536,Ashford Co Const,NA,NA,Ashford,2010-05-06,dateTime
http://data.parliament.uk/resources/146758,Borough,E14000537,Ashton-under-Lyne Boro Const,NA,NA,Ashton-under-Lyne,2010-05-06,dateTime
http://data.parliament.uk/resources/146759,County,E14000538,Aylesbury Co Const,NA,NA,Aylesbury,2010-05-06,dateTime
