about,electorate,majority,result_of_election,turnout,constituency_about,constituency_label_value,election_about,election_label_value
http://data.parliament.uk/resources/382387,64808,8361,Lab Hold,37701,http://data.parliament.uk/resources/143474,Aberdeen North,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382389,64031,3506,Lab Hold,43034,http://data.parliament.uk/resources/143480,Aberdeen South,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382391,62364,12408,Lab Hold,35849,http://data.parliament.uk/resources/143496,Airdrie and Shotts,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382393,62860,3282,SNP Hold,37960,http://data.parliament.uk/resources/143519,Angus,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382395,67165,3431,LD Hold,45207,http://data.parliament.uk/resources/143527,Argyll and Bute,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382397,73320,9911,Lab Hold,45893,http://data.parliament.uk/resources/143559,"Ayr, Carrick and Cumnock",http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382399,64300,4027,SNP Hold,38466,http://data.parliament.uk/resources/143570,Banff and Buchan,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382401,73826,5675,LD Hold,49014,http://data.parliament.uk/resources/143676,"Berwickshire, Roxburgh and Selkirk",http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382403,47263,4826,LD Hold,28768,http://data.parliament.uk/resources/144003,"Caithness, Sutherland and Easter Ross",http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382405,68352,12007,Lab Hold,43915,http://data.parliament.uk/resources/144074,Central Ayrshire,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382407,70067,20714,Lab Hold,41635,http://data.parliament.uk/resources/144188,"Coatbridge, Chryston and Bellshill",http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382409,64037,13755,Lab Hold,41150,http://data.parliament.uk/resources/144264,"Cumbernauld, Kilsyth and Kirkintilloch East",http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382411,74584,7449,Lab Hold,52173,http://data.parliament.uk/resources/144371,Dumfries and Galloway,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382413,66627,4194,Con Hold,45892,http://data.parliament.uk/resources/144374,"Dumfriesshire, Clydesdale and Tweeddale",http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382415,65471,1821,SNP Hold,40568,http://data.parliament.uk/resources/144382,Dundee East,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382417,63013,7278,Lab Hold,37126,http://data.parliament.uk/resources/144387,Dundee West,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382419,73590,5470,Lab Hold,48947,http://data.parliament.uk/resources/144389,Dunfermline and West Fife,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382421,63795,2184,LD Hold,47948,http://data.parliament.uk/resources/144425,East Dunbartonshire,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382423,76534,14503,Lab Hold,50946,http://data.parliament.uk/resources/144445,"East Kilbride, Strathaven and Lesmahagow",http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382425,73348,12258,Lab Hold,49161,http://data.parliament.uk/resources/144451,East Lothian,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382427,66249,10420,Lab Hold,51181,http://data.parliament.uk/resources/144454,East Renfrewshire,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382429,60945,9181,Lab Hold,39865,http://data.parliament.uk/resources/144495,Edinburgh East,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382431,69207,1724,Lab Hold,47356,http://data.parliament.uk/resources/144501,Edinburgh North and Leith,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382433,59362,316,Lab Hold,43801,http://data.parliament.uk/resources/144507,Edinburgh South,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382435,66361,8447,Lab Hold,45462,http://data.parliament.uk/resources/144508,Edinburgh South West,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382437,65159,3803,LD Hold,46447,http://data.parliament.uk/resources/144514,Edinburgh West,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382439,81869,7843,Lab Hold,50777,http://data.parliament.uk/resources/144575,Falkirk,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382441,60105,10551,Lab Hold,30580,http://data.parliament.uk/resources/144663,Glasgow Central,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382443,61865,11840,Lab Hold,32164,http://data.parliament.uk/resources/144664,Glasgow East,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382445,51490,3898,Lab Hold,29613,http://data.parliament.uk/resources/144665,Glasgow North,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382447,59861,15942,Lab Gain,29409,http://data.parliament.uk/resources/144666,Glasgow North East,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382449,60997,13611,Lab Hold,35582,http://data.parliament.uk/resources/144667,Glasgow North West,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382451,65069,12658,Lab Hold,40094,http://data.parliament.uk/resources/144668,Glasgow South,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382453,58191,14671,Lab Hold,31781,http://data.parliament.uk/resources/144669,Glasgow South West,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382455,67765,16448,Lab Hold,40501,http://data.parliament.uk/resources/144734,Glenrothes,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382457,73420,6748,LD Hold,48775,http://data.parliament.uk/resources/144744,Gordon,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382459,59209,14416,Lab Hold,37512,http://data.parliament.uk/resources/145015,Inverclyde,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382462,72528,8765,LD Hold,47086,http://data.parliament.uk/resources/145021,"Inverness, Nairn, Badenoch and Strathspey",http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382464,74131,12378,Lab Hold,46553,http://data.parliament.uk/resources/145084,Kilmarnock and Loudoun,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382466,73534,23009,Lab Hold,45802,http://data.parliament.uk/resources/145121,Kirkcaldy and Cowdenbeath,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382468,74773,13478,Lab Hold,46554,http://data.parliament.uk/resources/145138,Lanark and Hamilton East,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382470,80907,12553,Lab Hold,51450,http://data.parliament.uk/resources/145242,Linlithgow and East Falkirk,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382472,75924,10791,Lab Hold,47907,http://data.parliament.uk/resources/145286,Livingston,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382474,61387,10349,Lab Hold,39242,http://data.parliament.uk/resources/145437,Midlothian,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382476,65925,5590,SNP Hold,41004,http://data.parliament.uk/resources/145464,Moray,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382478,66918,16806,Lab Hold,39123,http://data.parliament.uk/resources/145482,Motherwell and Wishaw,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382480,21780,1885,SNP Hold,14717,http://data.parliament.uk/resources/145485,Na h-Eileanan an Iar,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382482,74223,9895,Lab Hold,46116,http://data.parliament.uk/resources/145564,North Ayrshire and Arran,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382484,62771,9048,LD Hold,40064,http://data.parliament.uk/resources/145595,North East Fife,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382486,75115,5187,Lab Hold,50469,http://data.parliament.uk/resources/145694,Ochil and South Perthshire,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382488,33085,9928,LD Hold,19346,http://data.parliament.uk/resources/145716,Orkney and Shetland,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382490,63704,15280,Lab Hold,43707,http://data.parliament.uk/resources/145745,Paisley and Renfrewshire North,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382492,61197,16614,Lab Hold,39998,http://data.parliament.uk/resources/145746,Paisley and Renfrewshire South,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382494,72141,4379,SNP Hold,48268,http://data.parliament.uk/resources/145776,Perth and North Perthshire,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382496,51836,13070,LD Hold,34838,http://data.parliament.uk/resources/145916,"Ross, Skye and Lochaber",http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382498,76408,21002,Lab Hold,46981,http://data.parliament.uk/resources/145961,Rutherglen and Hamilton West,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382500,66080,8304,Lab Hold,46841,http://data.parliament.uk/resources/146244,Stirling,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382502,66110,3684,LD Hold,45195,http://data.parliament.uk/resources/146556,West Aberdeenshire and Kincardine,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382504,66086,17408,Lab Hold,42266,http://data.parliament.uk/resources/146577,West Dunbartonshire,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382506,50838,11039,Lab Hold,30958,http://data.parliament.uk/resources/146747,Aberavon,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382508,44593,3398,Con Gain,29966,http://data.parliament.uk/resources/146748,Aberconwy,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382510,71465,5586,Con Hold,45384,http://data.parliament.uk/resources/146749,Aldershot,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382512,58909,15266,Con Hold,38634,http://data.parliament.uk/resources/146750,Aldridge-Brownhills,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382514,72208,11595,Con Hold,49393,http://data.parliament.uk/resources/146751,Altrincham and Sale West,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382516,60931,2919,Lab Hold,39923,http://data.parliament.uk/resources/146752,Alyn and Deeside,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382518,70171,536,Con Gain,45958,http://data.parliament.uk/resources/146753,Amber Valley,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382520,41198,1455,PC Gain,26078,http://data.parliament.uk/resources/146754,Arfon,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382522,76835,16691,Con Hold,55982,http://data.parliament.uk/resources/146755,Arundel and South Downs,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382524,77379,192,Lab Hold,48196,http://data.parliament.uk/resources/146756,Ashfield,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382526,81271,17297,Con Hold,55185,http://data.parliament.uk/resources/146757,Ashford,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382528,67714,9094,Lab Hold,38432,http://data.parliament.uk/resources/146758,Ashton-under-Lyne,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382530,77844,12618,Con Hold,53162,http://data.parliament.uk/resources/146759,Aylesbury,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382532,84379,18227,Con Hold,56241,http://data.parliament.uk/resources/146760,Banbury,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382534,73868,16555,Lab Hold,45343,http://data.parliament.uk/resources/146761,Barking,http://data.parliament.uk/resources/382037,2010 General Election
http://data.parliament.uk/resources/382536,65543,11093,Lab Hold,37001,http://data.parliament.uk/resources/146762,Barnsley Central,http://data.parliament.uk/resources/382037,2010 General Election
